Rank,Vehicle,Driver,Time,PS / KG
1,Mercedes - AMG One,Maro Engel,06:30.7,1063 / 1695
2,Porsche 911 GT2 RS Manthey Racing,Lars Kern,06:38.8,700 / 1430
3,McLaren P1 LM,Kenny Brack,06:43.2,1000 / 1390
4,AMG GT Black Series,Maro Engel,06:43.6,730 / 1637
5,Porsche 911 GT3 RS (992),Jörg Bergmeister,06:44.9,525 / 1483
6,Lamborghini Aventador SVJ,Marco Mapelli,06:45.0,770 / 1718
7,Radical SR8 RX,unknown,06:45.5,436 / 680
8,Radical SR8LM,Michael Vergers,06:48.0,455 / 650
9,Huracán Performante,Marco Mapelli,06:52.0,640 / 1562
10,AMG GT Black Series,unknown,06:52.5,730 / 1637
11,Porsche 911 GT3 RS Manthey Racing,Kevin Estre,06:54.3,- / -
12,Porsche 911 GT3 RS (992),Christian Gebhardt,06:55.0,525 / 1483
13,Radical SR8,Michael Vergers,06:55.0,363 / 650
14,Porsche 911 GT3 (992),Lars Kern,06:55.3,510 / 1456
15,Porsche 918 Spyder,Marc Lieb,06:57.0,887 / 1668
16,Modified Subaru WRX STI,unknown,06:57.5,- / -
17,Porsche 911 GT2 RS (991),unknown,06:58.0,700 / 1515
18,718 Cayman GT4 RS Manthey Per..,Jörg Bergmeister,06:58.1,500 / 1445
19,Ferrari 296 GTB,Christian Gebhardt,06:58.7,830 / 1602
20,911 GT3 Manthey Performance K..,Christian Gebhardt,06:59.4,510 / 1473
21,Aventador LP750-4 SV,unknown,06:59.7,750 / 1699
22,Ferrari 488 Pista,Christian Gebhardt,07:00.0,720 / 1476
23,Rimac Nevera,unknown,07:00.9,1941 / 2150
24,Dodge Viper ACR (Mk V),Lance Arnold,07:01.3,654 / 1540
25,Porsche 718 Cayman GT4 RS,Jörg Bergmeister,07:04.5,500 / 1449
26,Mercedes-Benz AMG GT R Pro,Maro Engel,07:04.6,585 / 1637
27,Porsche 911 GT3 (992),Christian Gebhardt,07:04.7,510 / 1456
28,Porsche 911 GT3 RS,unknown,07:05.0,520 / 1471
29,Nio EP9,unknown,07:05.1,1360 / 1735
30,Mercedes-Benz AMG GT R Pro,Christian Gebhardt,07:07.0,585 / 1637
31,Huracán Performante,unknown,07:08.0,640 / 1562
